Mechanical Processing,Method of processing workpieces using mechanical force
Forming Process,Method of deforming or separating raw materials without cutting
Cutting Process,Method of removing excess material from workpiece using cutting tools
Turning,Cutting method where workpiece rotates as primary motion while cutting tool performs feed motion
Milling,Cutting method where milling cutter rotates as primary motion while workpiece or cutter performs feed motion
Planing,Cutting method using planing tool in horizontal reciprocating motion relative to workpiece
Drilling,Method of making holes using drill bits or reaming tools
Broaching,Method of removing thin metal layer from hole wall to improve dimensional accuracy and reduce surface roughness
Boring,Cutting method where boring tool rotates as primary motion while workpiece or tool performs feed motion
Slotting,Cutting method using vertical reciprocating motion of slotting tool relative to workpiece
Drawing,Method of processing internal or external surfaces using drawing tool
Pushing,Method of processing internal surfaces using pushing tool
Shaping,Method of cutting tool back surfaces to obtain rear and back angles
Scraping,Method of removing thin surface layer using scraping tool
Grinding,Method of processing workpiece surface using abrasive tools at high linear speed
Honing,Precision finishing method removing extremely thin surface layer using honing tools and abrasives
Superfinishing,Precision finishing method using fine-grained abrasive tools with very light pressure and combined reciprocating and slow longitudinal feed motion
Polishing,"Method of obtaining bright and smooth surface using mechanical, chemical or electrochemical effects"
Extrusion,Method of forming metal blanks or finishing surfaces by applying pressure with extrusion tools
Rolling,Method of forming metal blanks or finishing surfaces by applying pressure with rolling tools
Shot Blasting,Method of surface hardening and cleaning by high-speed impact of small diameter shots propelled by compressed air or centrifugal force
Sand Blasting,"Method of surface cleaning, rust removal or roughening using high-speed sand particles"
Cold Working,Method of processing metal sheets and sections into various products without significantly changing cross-sectional characteristics
Stamping,Method of processing sheet metal through separation or forming
Riveting,Non-detachable connection formed using rivets
Bonding,Connection formed using adhesives
Bench Work,Various manual processing methods mainly using hand tools on workbench
Electrical Processing,Method of direct processing using electrical energy
EDM (Electrical Discharge Machining),Method of processing using pulse discharge erosion between tool electrode and workpiece in specific medium
ECM (Electrochemical Machining),Method of processing using anodic dissolution of metal workpiece in electrolyte
Electron Beam Processing,Method of processing by bombarding workpiece with high-density electron beam generated in vacuum conditions
Ion Beam Processing,Method of processing using high-energy ion beam accelerated and focused in vacuum
Plasma Processing,"Method of processing using high-temperature, high-speed plasma to melt and vaporize local metal"
Electroforming,Method of reproducing metal products using electrodeposition
Laser Processing,"Method of processing using high power density laser beam for drilling, etching, cutting or welding"
Ultrasonic Processing,Method of processing using ultrasonic vibration tool with abrasive slurry
High-Speed Energy Forming,"Method of forming using instantaneous release of chemical, electrical or mechanical energy"
Assembly,Technical process of fitting and joining parts or components into semi-finished or finished products
Operation,Portion of technological process continuously completed on one or several workpieces by one worker or group at one workplace
Setup,Portion of operation completed with one workpiece (or assembly unit) mounting
Pass,Portion of operation continuously completed under unchanged processing surface (or assembly joining surface) and tool conditions
