材料,主体零件由指定的材料构成-如"钛合金零件-材料-T-6A1-4V"
加工方法,主体零件通过指定的加工方法进行处理-如"精密轴套-加工方法-车削"
加工工序,主体零件按照指定的工序顺序进行加工-如"粗车-半精车-精车-磨削"
表面粗糙度要求,主体零件需要达到指定的表面质量要求-如"钛合金零件-表面粗糙度要求-Ra1.6"
使用设备,主体工艺使用指定的设备进行操作-如"粗车加工-使用设备-KBSZ车床840"
使用刀具,主体实体（通常是一种加工工艺或加工方法）在执行过程中需要或推荐采用客体实体（特定类型的刀具或切削工具）作为其实施的必要工具。这种关系描述了加工工艺与其配套工具之间的功能性依赖关系，指明了特定工艺应当或可以搭配的专用工具。
主轴转速,加工过程中主轴的旋转速度-如"粗车加工-主轴转速-800r/min"
切削速度,加工过程中工具相对于工件的线速度-如"车削-切削速度-120m/min"
进给量,加工过程中工具每转进给的距离-如"车削加工-进给量-0.1mm/r"
冷却方式,主体工艺采用指定的冷却方式进行操作-如"车削加工-冷却方式-切削液"
切削深度,主体工艺的切削深度为指定的数值范围-如"粗车加工-切削深度-1mm"
加工余量,加工过程中为下道工序预留的材料量-如"粗车加工-加工余量-1.6mm"
热处理方式,主体零件经过指定的热处理方式进行处理-如"主轴-热处理方式-调质处理"
硬度要求,主体零件需要达到指定的硬度标准-如"调质处理-硬度要求-HRC30-35"
目标公差,主体零件需要达到的尺寸精度要求-如"主轴-目标公差-φ50h7"
操作人员,指定人员负责操作特定设备或执行特定工艺-如"数控加工中心XH714-操作人员-刘思嫄"
刀位数量,设备可容纳的刀具数量-如"数控加工中心XH714-刀位数量-16"
适用于,设备或工艺适合的加工对象或应用场景-如"数控加工中心XH714-适用于-型腔和表面加工"
最高精度,设备能够达到的最高加工精度等级-如"数控加工中心XH714-最高精度-IT4等级"
所在位置,设备的物理位置或所属区域-如"数控加工中心XH714-所在位置-C车间"
属于（工艺）,主体实体是客体实体所代表的工艺类别或加工方式的一个具体实例、子类型或特定技术方法。这种关系特指在制造、加工领域中的分类关系，其中主体实体是客体实体这一更广泛工艺类别的一种具体实现形式。
机械加工,利用机械力对各种工件进行加工的方法
压力加工,使毛坯材料产生塑性变形或分离而无切削的加工方法
切削加工,利用切削工具从工件上切除多余材料的加工方法
车削,工件旋转作主运动.车刀作进给运动的切削加工方法
铣削,铣刀旋转作主运动.工件或铣刀作进给运动的切削加工方法
刨削,用刨刀对工件作水平相对直线往复运动的切削加工方法
钻削,用钻头或扩孔钻在工件上加工孔的方法
铰削,用铰刀从工件孔壁上切除微量金属层.以提高其尺寸精度和降低表面粗糙度的方法
飽削,用德钻或德刀刮平孔的端面或切出沉孔的方法
镗削,镗刀旋转作主运动.工件或镗刀作进给运动的切削加工方法
插削,用插刀对工件作垂直相对直线往复运动的切削加工方法
拉削,用拉刀加工工件内、外表面的方法
推削,用推刀加工工件内表面的方法
铲削,切出有关带齿工具的切削齿背以获得后面和后角的加工方法
刮削,用刮刀刮除工件表面薄层的加工方法
磨削,用磨具以较高的线速度对工件表面进行加工的方法
珩磨,利用珩磨工具对工件表面施加一定压力.珩磨工具同时作相对旋转和直线往复运动.切除工件上极小余量的精加工方法
超精加工,用细粒度的磨具对工件施加很小的压力.并作往复振动和慢速纵向进给运动.以实现微量磨削的一种光整加工方法
抛光,利用机械、化学或电化学的作用、使工件获得光亮、平整表面的加工方法
挤压,用挤压工具以一定的压力作用于金属坯料或工件、使其产生塑性变形、从而将坯料成形或挤光工件表面的加工方法
滚压,用滚压工具对金属坯料或工件施加压力、使其产生塑性变形、从而将坯料成形或滚光工件表面的加工方法
喷丸,用小直径的弹丸、在压缩空气或离心力的作用下、高速喷射工件、进行表面强化和清理的加工方法
喷砂,用高速运行的砂粒喷射工件、进行表面清理、除锈或使其表面粗化的加工方法
冷作,在基本不改变材料断面特征的情况下、将金属板材、型材等加工成各种制品的方法
冲压,使板料经分离或成形而得到制件的加工方法
铆接,借助铆钉形成的不可拆连接
铸造,将熔融金属浇注、压射或吸入铸型型腔中.待其凝固后而得到一定形状和性能铸件的方法
锻造,在加工设备及工(模)具的作用下.使金属坯料或铸锭产生局部或全部的塑性变形.以获得一定几何形状、尺寸和质量的锻件的加工方法
热处理,将固态金属或合金在一定介质中加热、保温和冷却.以改变其整体或表面组织.从而获得所需要性能的加工方法
表面处理,改变工件表面层的机械性能、物理性能或化学性能的加工方法
表面涂覆,用规定的异己材料.在工件表面上形成涂层的方法
